year,week,grid,CPUE
2015,24,365,0.4032
2015,24,367,0.4854763176
2015,24,368,0.6604416
2015,25,4,1.343671875
2015,25,5,1.4230818653
2015,25,6,1.1917309091
2015,25,8,1.4512998058
2015,25,9,1.5182673575
2015,25,10,1.4246204651
2015,25,11,1.7222625
2015,25,12,1.198575
2015,25,25,1.7740633308
2015,25,26,1.2173922032
2015,25,27,1.4491970859
2015,25,28,1.3761752161
2015,25,29,1.609632
2015,25,30,1.5497667078
2015,25,31,1.3932104753
2015,25,37,1.4852389381
2015,25,38,2.244927308
2015,25,39,2.320281182
2015,25,40,1.9539692308
2015,25,42,1.3919538462
2015,25,43,1.4468004624
2015,25,44,1.4364
2015,25,49,0.7782352941
2015,25,50,2.1104776367
2015,25,51,1.8129388952
2015,25,52,2.4233715221
2015,25,53,2.3528106152
2015,25,62,0.620676
2015,25,63,1.1354074468
2015,25,64,1.6729091859
2015,25,65,2.420736338
2015,25,66,2.4340578035
2015,25,74,0.48384
2015,25,75,1.9857167382
2015,25,76,1.463486631
2015,25,77,1.6891650854
2015,25,87,2.17728
2015,25,323,1.0127185609
2015,25,324,0.6868450759
2015,25,325,0.8404998566
2015,25,326,0.6755656516
2015,25,327,0.8942547291
2015,25,328,0.6674007273
2015,25,329,0.5238751843
2015,25,330,0.4123210466
2015,25,331,0.694505401
2015,25,332,0.7899077228
2015,25,333,0.8523563271
2015,25,334,1.2700909222
2015,25,335,1.2730517928
2015,25,336,1.4201745283
2015,25,337,0.9553898199
2015,25,338,0.8899423422
2015,25,339,0.748148641
2015,25,340,0.5250905761
2015,25,341,1.0580289571
2015,25,342,0.7553234435
2015,25,343,0.8833927495
2015,25,344,0.8351816085
2015,25,345,1.865562586
2015,25,346,2.7516553123
2015,25,347,1.7660554357
2015,25,348,0.7852276498
2015,25,349,0.7414235476
2015,25,350,0.7613919645
2015,25,351,0.6502737669
2015,25,352,0.4348380765
2015,25,353,0.6164193591
2015,25,354,0.5777308785
2015,25,355,0.6936425403
2015,25,356,0.7375068914
2015,25,357,0.9213231136
2015,25,358,0.6052274302
2015,25,359,0.5209955709
2015,25,360,0.6567890474
2015,25,361,0.5642086154
2015,25,363,1.301592233
2015,25,364,0.8337703349
2015,25,365,0.2898
2015,25,367,0.4597336768
2015,25,368,0.491184
2015,26,4,1.2389460154
2015,26,5,1.7409295775
2015,26,6,1.2987509434
2015,26,8,2.0029903448
2015,26,9,1.9104897196
2015,26,10,1.6419042254
2015,26,11,1.92384
2015,26,12,1.4742
2015,26,25,1.6981909171
2015,26,26,1.3707321217
2015,26,27,1.5335034823
2015,26,28,1.6198797551
2015,26,29,1.7503623529
2015,26,30,1.6894787527
2015,26,31,1.5183600673
2015,26,37,1.8275956364
2015,26,38,2.3553056728
2015,26,39,2.3887990032
2015,26,40,1.72368
2015,26,42,1.903536
2015,26,43,2.0074343984
2015,26,44,1.5876
2015,26,50,2.1798479917
2015,26,51,2.4324604449
2015,26,52,2.0923571731
2015,26,53,2.0185390428
2015,26,62,0.721056
2015,26,63,1.0532952924
2015,26,64,1.8703081423
2015,26,65,2.6555220959
2015,26,66,2.5247637051
2015,26,74,0.72576
2015,26,75,2.3328
2015,26,76,1.8632727273
2015,26,77,1.9709438669
2015,26,87,2.268
2015,26,337,1.008835174
2015,26,338,0.7811683103
2015,26,339,0.6648506567
2015,26,340,0.5324268293
2015,26,341,1.0852591304
2015,26,342,0.807641966
2015,26,343,0.7836319002
2015,26,344,0.727010499
2015,26,345,1.8598305443
2015,26,346,2.4232793734
2015,26,347,1.7344242678
2015,26,348,0.7846624856
2015,26,349,0.7980321442
2015,26,350,0.7388850893
2015,26,351,0.5305291858
2015,26,352,0.365049314
2015,26,353,0.4771231748
2015,26,354,0.4776851837
2015,26,355,0.5955811712
2015,26,356,0.5881098315
2015,26,357,0.5612506376
2015,26,358,0.4494397959
2015,26,359,0.3987346419
2015,26,360,0.5122737187
2015,26,361,0.4092948837
2015,26,363,0.8640489241
2015,26,364,0.6294056604
2015,26,365,0.3276
2015,26,367,0.4539754967
2015,26,368,0.386208
2015,27,345,1.1729169518
2015,27,346,1.5901424043
2015,27,347,1.071576834
2015,27,348,0.5106233658
2015,27,349,0.4592624409
2015,27,350,0.5497478026
2015,27,351,0.4967598552
2015,27,352,0.3662972695
2015,27,353,0.4107854015
2015,27,354,0.4327816339
2015,27,355,0.6235815798
2015,27,356,0.5471856475
2015,27,357,0.5481320068
2015,27,358,0.4089840293
2015,27,359,0.4408600394
2015,27,360,0.4641288087
2015,27,361,0.4641488372
2015,27,363,0.6645767442
2015,27,364,0.4227700441
2015,27,365,0.4032
2015,27,367,0.2961209302
2015,27,368,0.41958
2015,28,345,1.0055625585
2015,28,346,1.4656639478
2015,28,347,0.9474257063
2015,28,348,0.4633070621
2015,28,349,0.5281614173
2015,28,350,0.5841167278
2015,28,351,0.496850909
2015,28,352,0.3366751433
2015,28,353,0.3340866787
2015,28,354,0.3938606115
2015,28,355,0.5172599269
2015,28,356,0.4714623445
2015,28,357,0.4910697209
2015,28,358,0.4280080639
2015,28,359,0.4052067381
2015,28,360,0.4277022385
2015,28,361,0.324904186
2015,28,363,0.7057625806
2015,28,364,0.4418513514
2015,28,367,0.1178181818
2015,29,345,0.9682947903
2015,29,346,1.3607447974
2015,29,347,0.8902918745
2015,41,2,2.1546
2015,41,6,4.9362352941
2015,41,7,7.4510662824
2015,41,12,3.7601052632
2015,41,13,3.8762181818
2015,41,14,3.024
2015,41,15,3.6288
2015,41,16,2.268
2015,41,17,3.024
2015,41,18,1.8144
2015,41,34,3.1752
2015,41,35,4.4305116279
2015,41,44,1.770048
2015,41,45,2.27178
2015,41,46,2.16594
2015,41,47,2.7783
2015,41,55,4.0635
2015,41,56,4.3493103797
2015,41,57,5.8968
2015,42,3,3.3075
2015,42,6,4.0829361702
2015,42,7,5.5446847826
2015,42,12,4.0449896907
2015,42,13,5.1201307578
2015,42,14,5.2593081081
2015,42,15,4.6375387826
2015,42,16,2.9520360721
2015,42,17,4.6192542643
2015,42,18,4.1163934426
2015,42,19,2.772
2015,42,20,1.456
2015,42,33,7.0119
2015,42,34,7.5983756345
2015,42,35,4.6758082192
2015,42,36,7.56
2015,42,44,5.1285280245
2015,42,45,5.8385376
2015,42,46,4.671072
2015,42,47,4.6146292683
2015,42,55,4.4987178082
2015,42,56,5.0198998101
2015,42,57,4.5948
2015,43,3,4.536
2015,43,6,3.0483086817
2015,43,7,4.1881959184
2015,43,12,2.9364631579
2015,43,13,3.6221966405
2015,43,14,3.619728
2015,43,15,3.9494482759
2015,43,16,2.4557961783
2015,43,17,3.7973054284
2015,43,18,2.7606295908
2015,43,19,3.0184103512
2015,43,33,4.33755
2015,43,34,5.4707348243
2015,43,35,3.2433986014
2015,43,36,4.6008
2015,43,44,4.5590723069
2015,43,45,4.5564448696
2015,43,46,3.3142017391
2015,43,47,3.4421280171
2015,43,55,4.0900881356
2015,43,56,3.5449523291
2015,43,57,2.37384
2015,44,2,2.68758
